name,DP,PP,abbreviate,sum
Christoph Breunig,4,2,Breunig Ch,6
Michael Burda,4,6,Burda M,10
Brenda Lopez Cabrera,6,15,Cabrera B L,21
Bernd Fitzenberger,0,9,Fitzenberger B,9
Wolfgang Karl Haerdle,46,63,Haerdle W K,109
Stefan Lessmann,5,7,Lessmann S,12
Markus Reiss,0,0,Reiss M,0
Vladimir Spokoiny,9,13,Spokoiny V,22
Lars Winkelmann,0,4,Winkelmann L,4
Weining Wang,7,14,Wang W,21
